"site_id";"bio01_LGM";"bio01_current";"bio01_little_ice_age";"bio01_medieval_warm";"bio01_mid_Holocene";"bio01_other";"bio03_LGM";"bio03_current";"bio03_little_ice_age";"bio03_medieval_warm";"bio03_mid_Holocene";"bio03_other";"bio12_LGM";"bio12_current";"bio12_little_ice_age";"bio12_medieval_warm";"bio12_mid_Holocene";"bio12_other"
"1";"10-a";285.545454545455;288.7;288;288.1;288.361904761905;287.622346368715;50.7818181818182;38.5;39.2;39.55;41.1285714285714;46.1648044692737;336.272727272727;324;333.6;335;284.857142857143;311.449438202247
"2";"10-b";285.545454545455;288.7;288;288.1;288.361904761905;287.622346368715;50.7818181818182;38.5;39.2;39.55;41.1285714285714;46.1648044692737;336.272727272727;324;333.6;335;284.857142857143;311.449438202247
"3";"10-c";285.545454545455;288.7;288;288.1;288.361904761905;287.622346368715;50.7818181818182;38.5;39.2;39.55;41.1285714285714;46.1648044692737;336.272727272727;324;333.6;335;284.857142857143;311.449438202247
"4";"100-a";285.181818181818;292.8;291.38;291.975;290.190476190476;288.217877094972;36.1909090909091;52;47.8;52.95;40.2190476190476;39.5078212290503;1298.09090909091;802;885.8;930.75;847.142857142857;996.314606741573
"5";"100-b";285.181818181818;292.8;291.38;291.975;290.190476190476;288.217877094972;36.1909090909091;52;47.8;52.95;40.2190476190476;39.5078212290503;1298.09090909091;802;885.8;930.75;847.142857142857;996.314606741573
"6";"100-c";285.181818181818;292.8;291.38;291.975;290.190476190476;288.217877094972;36.1909090909091;52;47.8;52.95;40.2190476190476;39.5078212290503;1298.09090909091;802;885.8;930.75;847.142857142857;996.314606741573
"7";"101-a";283.327272727273;290.7;289.4;289.925;287.72380952381;286.151955307263;46.3909090909091;56.9;53.94;56.9;45.4857142857143;46.7335195530726;534.545454545455;341;369.2;382;374.904761904762;423.370786516854
"8";"101-b";283.327272727273;290.7;289.4;289.925;287.72380952381;286.151955307263;46.3909090909091;56.9;53.94;56.9;45.4857142857143;46.7335195530726;534.545454545455;341;369.2;382;374.904761904762;423.370786516854
"9";"101-c";283.327272727273;290.7;289.4;289.925;287.72380952381;286.151955307263;46.3909090909091;56.9;53.94;56.9;45.4857142857143;46.7335195530726;534.545454545455;341;369.2;382;374.904761904762;423.370786516854
"10";"104-a";281.845454545455;289.7;288.24;288.8;286.485714285714;284.826815642458;46.4181818181818;58;55.18;58.6;45.852380952381;46.9944134078212;738.454545454545;455;496.2;516.25;508.047619047619;578.533707865169
"11";"104-b";281.845454545455;289.7;288.24;288.8;286.485714285714;284.826815642458;46.4181818181818;58;55.18;58.6;45.852380952381;46.9944134078212;738.454545454545;455;496.2;516.25;508.047619047619;578.533707865169
"12";"104-c";281.845454545455;289.7;288.24;288.8;286.485714285714;284.826815642458;46.4181818181818;58;55.18;58.6;45.852380952381;46.9944134078212;738.454545454545;455;496.2;516.25;508.047619047619;578.533707865169
"13";"11-a";285.681818181818;289.2;288.58;288.575;288.909523809524;287.960893854749;50.3727272727273;39.1;40.3;40.175;41.3857142857143;46.2033519553073;336;322;330.6;333.5;279.952380952381;308.966292134831
"14";"11-b";285.681818181818;289.2;288.58;288.575;288.909523809524;287.960893854749;50.3727272727273;39.1;40.3;40.175;41.3857142857143;46.2033519553073;336;322;330.6;333.5;279.952380952381;308.966292134831
"15";"11-c";285.681818181818;289.2;288.58;288.575;288.909523809524;287.960893854749;50.3727272727273;39.1;40.3;40.175;41.3857142857143;46.2033519553073;336;322;330.6;333.5;279.952380952381;308.966292134831
"16";"110-a";281.581818181818;289.6;287.84;288.5;286.128571428571;284.485474860335;53.1545454545455;59.4;57.16;60.15;50.6095238095238;50.8687150837989;944.363636363636;583;627.8;640.25;618.952380952381;726.056179775281
"17";"110-b";281.581818181818;289.6;287.84;288.5;286.128571428571;284.485474860335;53.1545454545455;59.4;57.16;60.15;50.6095238095238;50.8687150837989;944.363636363636;583;627.8;640.25;618.952380952381;726.056179775281
"18";"110-c";281.581818181818;289.6;287.84;288.5;286.128571428571;284.485474860335;53.1545454545455;59.4;57.16;60.15;50.6095238095238;50.8687150837989;944.363636363636;583;627.8;640.25;618.952380952381;726.056179775281
"19";"112-a";285.018181818182;289.5;288.66;288.575;287.642857142857;286.691620111732;42.5909090909091;37.4;36.48;37.5;32.6238095238095;36.6692737430168;361.727272727273;271;269.4;280.25;343.047619047619;308.365168539326
"20";"112-b";285.018181818182;289.5;288.66;288.575;287.642857142857;286.691620111732;42.5909090909091;37.4;36.48;37.5;32.6238095238095;36.6692737430168;361.727272727273;271;269.4;280.25;343.047619047619;308.365168539326
"21";"112-c";285.018181818182;289.5;288.66;288.575;287.642857142857;286.691620111732;42.5909090909091;37.4;36.48;37.5;32.6238095238095;36.6692737430168;361.727272727273;271;269.4;280.25;343.047619047619;308.365168539326
"22";"113-a";284.627272727273;289.1;288.26;288.175;287.261904761905;286.314525139665;42.5363636363636;37.2;36.2;37.1;31.8904761904762;36.2016759776536;438.181818181818;309;314.6;328.25;408.142857142857;371.932584269663
"23";"113-b";284.627272727273;289.1;288.26;288.175;287.261904761905;286.314525139665;42.5363636363636;37.2;36.2;37.1;31.8904761904762;36.2016759776536;438.181818181818;309;314.6;328.25;408.142857142857;371.932584269663
"24";"113-c";284.627272727273;289.1;288.26;288.175;287.261904761905;286.314525139665;42.5363636363636;37.2;36.2;37.1;31.8904761904762;36.2016759776536;438.181818181818;309;314.6;328.25;408.142857142857;371.932584269663
"25";"114-a";286.627272727273;291.2;290.32;290.275;289.319047619048;288.357541899441;42.4363636363636;37.7;36.48;37.925;33.3238095238095;37.022905027933;526.090909090909;300;313.2;316.5;414.428571428571;398.97191011236
"26";"114-b";286.627272727273;291.2;290.32;290.275;289.319047619048;288.357541899441;42.4363636363636;37.7;36.48;37.925;33.3238095238095;37.022905027933;526.090909090909;300;313.2;316.5;414.428571428571;398.97191011236
"27";"114-c";286.627272727273;291.2;290.32;290.275;289.319047619048;288.357541899441;42.4363636363636;37.7;36.48;37.925;33.3238095238095;37.022905027933;526.090909090909;300;313.2;316.5;414.428571428571;398.97191011236
"28";"115-a";285.036363636364;289.6;288.72;288.675;287.814285714286;286.805586592179;42.3727272727273;38.2;37;38.125;32.7666666666667;36.6223463687151;862.272727272727;441;448.6;465.5;585.333333333333;606.129213483146
"29";"115-b";285.036363636364;289.6;288.72;288.675;287.814285714286;286.805586592179;42.3727272727273;38.2;37;38.125;32.7666666666667;36.6223463687151;862.272727272727;441;448.6;465.5;585.333333333333;606.129213483146
"30";"115-c";285.036363636364;289.6;288.72;288.675;287.814285714286;286.805586592179;42.3727272727273;38.2;37;38.125;32.7666666666667;36.6223463687151;862.272727272727;441;448.6;465.5;585.333333333333;606.129213483146
"31";"116-a";284.545454545455;289.1;288.22;288.175;287.32380952381;286.328491620112;42.5454545454545;38.6;37.42;38.675;33.0047619047619;36.8782122905028;863;461;467.6;487.5;608.333333333333;618.095505617978
