"site_id";"year_bp";"calendar_year";"value"
"10-a";-50;2000;288.7
"10-b";-50;2000;288.7
"10-c";-50;2000;288.7
"100-a";-50;2000;292.8
"100-b";-50;2000;292.8
"100-c";-50;2000;292.8
"101-a";-50;2000;290.7
"101-b";-50;2000;290.7
"101-c";-50;2000;290.7
"104-a";-50;2000;289.7
"104-b";-50;2000;289.7
"104-c";-50;2000;289.7
"11-a";-50;2000;289.2
"11-b";-50;2000;289.2
"11-c";-50;2000;289.2
"110-a";-50;2000;289.6
"110-b";-50;2000;289.6
"110-c";-50;2000;289.6
"112-a";-50;2000;289.5
"112-b";-50;2000;289.5
"112-c";-50;2000;289.5
"113-a";-50;2000;289.1
"113-b";-50;2000;289.1
"113-c";-50;2000;289.1
"114-a";-50;2000;291.2
"114-b";-50;2000;291.2
"114-c";-50;2000;291.2
"115-a";-50;2000;289.6
"115-b";-50;2000;289.6
"115-c";-50;2000;289.6
"116-a";-50;2000;289.1
"116-b";-50;2000;289.1
"116-c";-50;2000;289.1
"118-a";-50;2000;290.1
"118-b";-50;2000;290.1
"118-c";-50;2000;290.1
"119-a";-50;2000;291.4
"119-b";-50;2000;291.4
"119-c";-50;2000;291.4
"12-a";-50;2000;288.9
"12-b";-50;2000;288.9
"12-c";-50;2000;288.9
"120-a";-50;2000;289.3
"120-b";-50;2000;289.3
"120-c";-50;2000;289.3
"121-a";-50;2000;290
"121-b";-50;2000;290
"121-c";-50;2000;290
"122-a";-50;2000;288.8
"122-b";-50;2000;288.8
"122-c";-50;2000;288.8
"123-a";-50;2000;278.8
"123-b";-50;2000;278.8
"123-c";-50;2000;278.8
"124-a";-50;2000;279.4
"124-b";-50;2000;279.4
"124-c";-50;2000;279.4
"125-a";-50;2000;277.4
"125-b";-50;2000;277.4
"125-c";-50;2000;277.4
"126-a";-50;2000;277.6
"126-b";-50;2000;277.6
"126-c";-50;2000;277.6
"128-a";-50;2000;278.2
"128-b";-50;2000;278.2
"128-c";-50;2000;278.2
"129-a";-50;2000;278.5
"129-b";-50;2000;278.5
"129-c";-50;2000;278.5
"13-a";-50;2000;291.9
"13-b";-50;2000;291.9
"13-c";-50;2000;291.9
"130-a";-50;2000;276.3
"130-b";-50;2000;276.3
"130-c";-50;2000;276.3
"132-a";-50;2000;276.3
"132-b";-50;2000;276.3
"132-c";-50;2000;276.3
"133-a";-50;2000;276.2
"133-b";-50;2000;276.2
"133-c";-50;2000;276.2
"134-a";-50;2000;287.7
"134-b";-50;2000;287.7
"134-c";-50;2000;287.7
"135-a";-50;2000;287.7
"135-b";-50;2000;287.7
"135-c";-50;2000;287.7
"136-a";-50;2000;287.9
"136-b";-50;2000;287.9
"136-c";-50;2000;287.9
"137-a";-50;2000;288
"137-b";-50;2000;288
"137-c";-50;2000;288
"138-a";-50;2000;288.1
"138-b";-50;2000;288.1
"138-c";-50;2000;288.1
"139-a";-50;2000;290.2
"139-b";-50;2000;290.2
"139-c";-50;2000;290.2
"140-a";-50;2000;289.8
"140-b";-50;2000;289.8
"140-c";-50;2000;289.8
"143-a";-50;2000;288.3
"143-b";-50;2000;288.3
"143-c";-50;2000;288.3
"146-a";-50;2000;288.2
"146-b";-50;2000;288.2
"146-c";-50;2000;288.2
"147-a";-50;2000;288.2
"147-b";-50;2000;288.2
"147-c";-50;2000;288.2
"148-a";-50;2000;288.6
"148-b";-50;2000;288.6
"148-c";-50;2000;288.6
"149-a";-50;2000;288.6
"149-b";-50;2000;288.6
"149-c";-50;2000;288.6
"150-a";-50;2000;288.7
"150-b";-50;2000;288.7
"150-c";-50;2000;288.7
"151-a";-50;2000;288.7
"151-b";-50;2000;288.7
"151-c";-50;2000;288.7
"152-a";-50;2000;288.7
"152-b";-50;2000;288.7
"152-c";-50;2000;288.7
"153-a";-50;2000;288.2
"153-b";-50;2000;288.2
"153-c";-50;2000;288.2
"154-a";-50;2000;288.2
"154-b";-50;2000;288.2
"154-c";-50;2000;288.2
"155-a";-50;2000;288.4
"155-b";-50;2000;288.4
"155-c";-50;2000;288.4
"156-a";-50;2000;287.9
"156-b";-50;2000;287.9
"156-c";-50;2000;287.9
"157-a";-50;2000;287.9
"157-b";-50;2000;287.9
"157-c";-50;2000;287.9
"158-a";-50;2000;287.4
"158-b";-50;2000;287.4
"158-c";-50;2000;287.4
"159-a";-50;2000;287.4
"159-b";-50;2000;287.4
"159-c";-50;2000;287.4
"16-a";-50;2000;291.1
"16-b";-50;2000;291.1
"16-c";-50;2000;291.1
"162-a";-50;2000;287.3
"162-b";-50;2000;287.3
"162-c";-50;2000;287.3
"163-a";-50;2000;287.3
"163-b";-50;2000;287.3
